stream,clients,commands,elapsed_ms,tps,command_ms,txn_ms
False,1,1,279.4303333333333,3578.7095411975083,0.2794303333333333,0.2794303333333333
False,1,2,580.638,1722.2434632249353,0.290319,0.580638
False,1,5,1413.7523333333331,707.3374709431663,0.28275046666666664,1.413752333333333
False,1,10,2756.592,362.76677868904795,0.2756592,2.756592
False,1,15,4223.6106666666665,236.76424720965443,0.28157404444444445,4.223610666666667
False,1,20,5636.94,177.40121413390955,0.28184699999999996,5.636939999999999
False,1,25,7104.136333333333,140.76306437249775,0.2841654533333333,7.104136333333333
False,1,30,8669.879333333332,115.34185904471259,0.28899597777777775,8.669879333333332
False,2,1,289.16883333333334,6916.374689987914,0.2891688333333333,0.2891688333333333
False,2,2,590.3578333333334,3387.775832002455,0.2951789166666667,0.5903578333333334
False,2,5,1445.5718333333334,1383.5355351302155,0.2891143666666667,1.4455718333333334
False,2,10,2952.7341666666666,677.3383200485652,0.2952734166666667,2.9527341666666667
False,2,15,4433.7655,451.0838473527749,0.2955843666666667,4.433765500000001
False,2,20,5953.3475,335.94544917796253,0.297667375,5.9533475
False,2,25,7425.795833333333,269.3314016286694,0.29703183333333333,7.425795833333333
False,2,30,9469.320666666667,211.2083929146343,0.3156440222222222,9.469320666666666
False,4,1,313.7780833333333,12747.862940289277,0.3137780833333333,0.3137780833333333
False,4,2,623.404,6416.384880430668,0.311702,0.623404
False,4,5,1624.5772,2462.1790826560905,0.32491544,1.6245772
False,4,10,3194.7524666666664,1252.0531846317067,0.31947524666666666,3.1947524666666665
False,4,15,4932.211333333334,810.9952574349003,0.3288140888888889,4.932211333333334
False,4,20,6356.303333333333,629.2965880063413,0.31781516666666665,6.356303333333333
False,4,25,7932.420333333333,504.2597129140198,0.3172968133333333,7.932420333333333
False,4,30,9441.388666666666,423.66649030372156,0.3147129555555555,9.441388666666667
False,8,1,339.21050333333335,23584.175376016017,0.33921050333333336,0.33921050333333336
False,8,2,701.4413166666667,11405.088080663627,0.3507206583333333,0.7014413166666666
False,8,5,1738.2505666666668,4602.328429175256,0.34765011333333334,1.7382505666666668
